rank,self,accum,count,method,trace
1,6.31%,6.31%,5110,java.lang.Thread.currentThread,30064
2,5.37%,11.68%,4352,avrora.arch.legacy.LegacyInterpreter.fastLoop,30044
3,3.51%,15.19%,2842,avrora.arch.legacy.LegacyInterpreter.fastLoop,30052
4,3.43%,18.61%,2775,avrora.sim.clock.DeltaQueue.advance,30047
5,3.12%,21.73%,2524,java.io.FileOutputStream.write,30044
6,1.53%,23.26%,1239,avrora.arch.legacy.LegacyInterpreter.visit,30075
7,1.49%,24.75%,1208,avrora.arch.legacy.LegacyInterpreter.visit,30067
8,1.33%,26.08%,1075,avrora.sim.AtmelInterpreter.writeRegisterByte,30067
9,1.32%,27.40%,1072,avrora.sim.AtmelInterpreter.commit,30049
10,1.25%,28.65%,1010,avrora.sim.clock.DeltaQueue.advance,30046
11,1.22%,29.87%,988,cck.util.Arithmetic.high,30058
12,1.19%,31.06%,962,cck.util.Arithmetic.high,30056
13,1.09%,32.14%,879,avrora.sim.AtmelInterpreter.getSP,30064
14,1.05%,33.19%,850,avrora.sim.AtmelInterpreter.getRegisterByte,30065
15,0.88%,34.07%,710,avrora.arch.legacy.LegacyInterpreter.visit,30055
16,0.87%,34.94%,708,avrora.sim.AtmelInterpreter.getSP,30066
17,0.80%,35.74%,644,avrora.arch.legacy.LegacyInterpreter.visit,30075
18,0.75%,36.48%,606,avrora.sim.clock.RippleSynchronizer.waitForNeighbors,30070
19,0.72%,37.20%,581,avrora.sim.radio.Medium$Receiver.getIntersection,30064
20,0.71%,37.92%,579,avrora.sim.AtmelInterpreter.readSRAM,30073
21,0.66%,38.58%,536,avrora.sim.AtmelInterpreter.writeSRAM,30071
22,0.66%,39.24%,533,avrora.sim.AtmelInterpreter.writeRegisterByte,30060
23,0.66%,39.89%,533,avrora.sim.AtmelInterpreter.readSRAM,30065
24,0.66%,40.55%,531,avrora.sim.radio.Medium$Receiver.earliestNewTransmission,30080
25,0.66%,41.20%,531,avrora.sim.AtmelInterpreter.writeSRAM,30086
26,0.64%,41.85%,520,avrora.sim.AtmelInterpreter.commit,30049
27,0.61%,42.46%,494,cck.util.Arithmetic.uword,30061
28,0.60%,43.06%,488,java.lang.Object.wait,30064
29,0.58%,43.64%,470,avrora.sim.clock.RippleSynchronizer.waitForNeighbors,30056
30,0.58%,44.22%,468,cck.util.Arithmetic.uword,30076
31,0.52%,44.74%,424,avrora.arch.legacy.LegacyInterpreter.visit,30072
32,0.50%,45.24%,402,avrora.sim.mcu.ATMegaFamily$PortRegister.write,30045
33,0.48%,45.72%,391,avrora.sim.AtmelInterpreter.getDataByte,30079
34,0.48%,46.20%,386,avrora.arch.legacy.LegacyInterpreter.visit,30082
35,0.47%,46.67%,384,avrora.arch.legacy.LegacyRegister.getNumber,30065
36,0.47%,47.14%,381,java.lang.String.hashCode,30047
37,0.47%,47.61%,381,avrora.arch.legacy.LegacyInterpreter.visit,30077
38,0.47%,48.08%,380,avrora.arch.legacy.LegacyInterpreter.visit,30048
39,0.44%,48.52%,359,avrora.arch.legacy.LegacyInterpreter.visit,30062
40,0.41%,48.94%,334,avrora.arch.legacy.LegacyInterpreter.visit,30044
41,0.39%,49.32%,313,avrora.sim.AtmelInterpreter.writeRegisterByte,30047
42,0.36%,49.69%,295,avrora.arch.legacy.LegacyInterpreter.visit,30049
43,0.36%,50.05%,294,cck.util.Arithmetic.uword,30074
44,0.34%,50.39%,276,avrora.sim.AtmelInterpreter.pushByte,30056
45,0.34%,50.73%,274,cck.util.Arithmetic.high,30067
46,0.34%,51.06%,273,avrora.arch.legacy.LegacyInterpreter.visit,30067
47,0.34%,51.40%,272,avrora.arch.legacy.LegacyInterpreter.sleepLoop,30080
48,0.33%,51.73%,270,avrora.arch.legacy.LegacyInterpreter.visit,30078
49,0.33%,52.06%,267,avrora.arch.legacy.LegacyInterpreter.visit,30083
50,0.32%,52.39%,262,avrora.sim.AtmelInterpreter.getDataByte,30068
51,0.32%,52.71%,258,avrora.sim.clock.RippleSynchronizer$NotifyEvent.fire,30065
52,0.32%,53.02%,258,avrora.sim.AtmelInterpreter.readSRAM,30065
53,0.32%,53.34%,256,avrora.sim.AtmelInterpreter.getSP,30067
54,0.31%,53.65%,252,java.lang.Object.hashCode,30078
55,0.31%,53.96%,248,avrora.sim.AtmelInterpreter.getSP,30075
56,0.31%,54.26%,248,avrora.arch.legacy.LegacyInterpreter.visit,30082
57,0.30%,54.57%,247,avrora.arch.legacy.LegacyRegister.getNumber,30079
58,0.30%,54.86%,240,avrora.sim.AtmelInterpreter.writeRegisterByte,30050
59,0.30%,55.16%,240,avrora.sim.AtmelInterpreter.readSRAM,30062
60,0.29%,55.45%,236,avrora.sim.AtmelInterpreter.pushByte,30088
61,0.29%,55.74%,234,avrora.sim.radio.Medium$Receiver.earliestNewTransmission,30080
62,0.28%,56.02%,225,avrora.sim.AtmelInterpreter.writeRegisterByte,30073
63,0.27%,56.29%,222,avrora.arch.legacy.LegacyInterpreter.visit,30047
64,0.27%,56.56%,215,avrora.sim.clock.RippleSynchronizer.waitForNeighbors,30083
65,0.26%,56.82%,208,java.lang.System.arraycopy,30116
66,0.25%,57.07%,205,avrora.sim.AtmelInterpreter.popByte,30076
67,0.25%,57.32%,201,avrora.sim.AtmelInterpreter.getRegisterByte,30056
68,0.25%,57.56%,200,avrora.arch.legacy.LegacyInterpreter.visit,30086
69,0.24%,57.81%,198,avrora.arch.legacy.LegacyRegister.getNumber,30077
70,0.24%,58.05%,196,cck.util.Arithmetic.uword,30067
71,0.24%,58.29%,193,avrora.sim.AtmelInterpreter.writeRegisterByte,30049
72,0.24%,58.53%,193,avrora.sim.AtmelInterpreter.readSRAM,30062
73,0.24%,58.76%,192,avrora.arch.legacy.LegacyInterpreter.visit,30089
74,0.23%,58.99%,183,avrora.arch.legacy.LegacyInterpreter.visit,30073
75,0.22%,59.21%,179,avrora.arch.legacy.LegacyInterpreter.visit,30090
76,0.22%,59.43%,179,avrora.sim.AtmelInterpreter.readVolatile,30110
77,0.22%,59.65%,177,avrora.arch.legacy.LegacyInterpreter.visit,30057
78,0.21%,59.86%,172,avrora.sim.clock.RippleSynchronizer.waitForNeighbors,30080
79,0.21%,60.07%,170,avrora.sim.mcu.DefaultMCU.access$000,30047
80,0.21%,60.28%,170,avrora.sim.AtmelInterpreter.getRegisterByte,30055
81,0.21%,60.49%,168,avrora.sim.AtmelInterpreter.getRegisterByte,30066
82,0.20%,60.69%,166,avrora.sim.radio.Medium$Receiver$Ticker.fire,30108
83,0.20%,60.90%,165,avrora.sim.AtmelInterpreter.getRegisterByte,30058
84,0.20%,61.10%,165,cck.util.Arithmetic.low,30058
85,0.20%,61.30%,163,avrora.sim.RWRegister.read,30084
86,0.20%,61.50%,158,avrora.sim.AtmelInterpreter.getRegisterByte,30052
87,0.20%,61.69%,158,avrora.sim.AtmelInterpreter.writeDataByte,30075
88,0.19%,61.88%,151,avrora.sim.RWRegister.getValue,30099
89,0.19%,62.06%,150,cck.util.Arithmetic.high,30089
90,0.18%,62.25%,149,cck.text.StringUtil.toHex,30071
91,0.18%,62.43%,147,avrora.arch.legacy.LegacyInterpreter.visit,30081
92,0.18%,62.61%,144,avrora.sim.AtmelInterpreter.getRegisterByte,30049
93,0.18%,62.78%,143,avrora.sim.AtmelInterpreter.getRegisterByte,30067
94,0.18%,62.96%,142,avrora.sim.clock.DeltaQueue.newLink,30074
95,0.18%,63.13%,142,avrora.arch.legacy.LegacyInterpreter.visit,30076
96,0.17%,63.31%,140,avrora.arch.legacy.LegacyRegister.getNumber,30063
97,0.17%,63.48%,139,avrora.sim.AtmelInterpreter.writeIORegisterByte,30076
98,0.17%,63.65%,138,avrora.sim.AtmelInterpreter$SREGBehavior.write,30085
99,0.17%,63.82%,136,avrora.sim.AtmelInterpreter.getIORegisterByte,30064
100,0.17%,63.98%,134,cck.util.Arithmetic.getBit,30105
101,0.16%,64.15%,132,avrora.sim.AtmelInterpreter.getSP,30071
102,0.16%,64.30%,129,cck.util.Arithmetic.low,30070
103,0.16%,64.46%,128,avrora.arch.legacy.LegacyRegister.getNumber,30078
104,0.16%,64.62%,127,avrora.sim.mcu.DefaultMCU.access$000,30046
105,0.15%,64.77%,125,avrora.arch.legacy.LegacyInterpreter.visit,30057
106,0.15%,64.93%,124,avrora.sim.AtmelInterpreter.writeRegisterByte,30082
107,0.15%,65.08%,124,avrora.arch.legacy.LegacyInterpreter.visit,30115
108,0.15%,65.23%,123,avrora.arch.legacy.LegacyInterpreter.visit,30058
109,0.15%,65.38%,122,avrora.sim.AtmelInterpreter.getSP,30089
110,0.15%,65.53%,121,avrora.arch.legacy.LegacyInterpreter.visit,30073
111,0.15%,65.68%,121,cck.util.Arithmetic.uword,30091
112,0.15%,65.83%,120,avrora.arch.legacy.LegacyInterpreter.visit,30086
113,0.15%,65.98%,119,cck.util.Arithmetic.getBit,30049
114,0.15%,66.12%,119,avrora.arch.legacy.LegacyInterpreter.runLoop,30074
115,0.15%,66.27%,119,avrora.sim.FiniteStateMachine.transition,30098
116,0.15%,66.42%,118,avrora.arch.legacy.LegacyInterpreter.visit,30093
117,0.14%,66.56%,117,avrora.sim.AtmelInterpreter.writeSRAM,30078
