rank,self,accum,count,trace,method
1,9.73%,9.73%,3268,30036,sun.misc.Unsafe.getInt
2,4.54%,14.27%,1524,30087,java.lang.Double.doubleToRawLongBits
3,4.17%,18.44%,1400,30126,sun.java2d.pipe.AAShapePipe.renderTiles
4,3.71%,22.16%,1247,30122,java.util.Arrays.fill
5,3.56%,25.72%,1196,30126,java.util.Arrays.fill
6,2.57%,28.29%,863,30124,java.util.Arrays.fill
7,2.23%,30.52%,750,30125,java.util.Arrays.fill
8,2.14%,32.67%,719,30084,java.util.Arrays.copyOfRange
9,2.07%,34.74%,695,30127,sun.java2d.pisces.PiscesTileGenerator.nextTile
10,1.89%,36.63%,636,30126,sun.java2d.pipe.AAShapePipe.renderTiles
11,1.83%,38.46%,613,30140,java.util.zip.Deflater.deflateBytes
12,1.57%,40.03%,527,30126,java.lang.Math.min
13,1.47%,41.50%,494,30128,sun.java2d.pisces.PiscesCache.alphaSumInTile
14,1.41%,42.90%,472,30127,sun.java2d.pisces.PiscesCache.alphaSumInTile
15,1.24%,44.14%,417,30127,sun.java2d.pisces.PiscesCache.alphaSumInTile
16,0.97%,45.11%,324,30126,sun.java2d.pipe.AAShapePipe.renderTiles
17,0.88%,45.99%,295,30109,java.awt.geom.Path2D$Double.<init>
18,0.84%,46.83%,283,30061,java.util.Arrays.copyOfRange
19,0.80%,47.63%,269,30119,java.util.Arrays.copyOf
20,0.78%,48.41%,262,30129,java.lang.Math.min
21,0.60%,49.02%,203,30129,java.lang.Double.doubleToRawLongBits
22,0.58%,49.60%,195,30107,java.lang.System.arraycopy
23,0.57%,50.17%,193,30127,sun.java2d.pisces.PiscesCache.<init>
24,0.56%,50.74%,189,30128,sun.java2d.pisces.PiscesCache.alphaSumInTile
25,0.56%,51.30%,189,30141,org.apache.batik.ext.awt.image.codec.png.PNGEncodeParam.filterRow
26,0.56%,51.86%,188,30085,java.lang.Object.getClass
27,0.55%,52.41%,186,30107,java.lang.Float.floatToRawIntBits
28,0.54%,52.95%,180,30061,java.util.Arrays.copyOfRange
29,0.53%,53.48%,178,30140,org.apache.batik.ext.awt.image.codec.png.PNGImageEncoder.clamp
30,0.51%,53.99%,172,30085,java.lang.Float.floatToRawIntBits
31,0.51%,54.50%,171,30061,org.apache.batik.util.DoublyIndexedTable.<init>
32,0.51%,55.01%,171,30128,sun.java2d.pisces.PiscesCache.alphaSumInTile
33,0.50%,55.51%,169,30140,org.apache.batik.ext.awt.image.codec.png.PNGEncodeParam.filterRow
34,0.48%,55.99%,161,30128,sun.java2d.pisces.PiscesCache.alphaSumInTile
35,0.48%,56.47%,160,30090,java.lang.String.intern
36,0.44%,56.91%,147,30129,sun.java2d.pisces.Renderer.<init>
37,0.43%,57.34%,144,30129,java.lang.Thread.currentThread
38,0.42%,57.76%,141,30089,java.util.Arrays.copyOfRange
