rank,self,accum,count,method,trace
1,4.87%,4.87%,693,sun.misc.Unsafe.getObjectVolatile,30093
2,3.27%,8.14%,466,java.lang.Object.getClass,30067
3,3.03%,11.17%,432,java.lang.System.arraycopy,30098
4,2.89%,14.07%,412,java.lang.Object.clone,30093
5,2.18%,16.24%,310,java.lang.System.arraycopy,30053
6,1.73%,17.97%,246,sun.misc.Unsafe.getInt,30038
7,1.65%,19.62%,235,org.apache.fop.fo.properties.CommonFont.getFontFamily,30067
8,1.62%,21.24%,230,java.lang.AbstractStringBuilder.<init>,30067
9,1.57%,22.81%,224,java.lang.Double.doubleToRawLongBits,30095
10,1.45%,24.26%,206,java.lang.String.valueOf,30106
11,1.38%,25.63%,196,java.lang.Object.clone,30095
12,1.29%,26.92%,184,java.lang.AbstractStringBuilder.<init>,30096
13,1.28%,28.20%,182,java.util.Arrays.copyOfRange,30111
14,1.08%,29.28%,154,java.lang.System.arraycopy,30108
15,0.94%,30.22%,134,java.lang.Integer.compareTo,30100
16,0.90%,31.12%,128,java.util.logging.Level.intValue,30103
17,0.77%,31.89%,109,java.util.Arrays.copyOfRange,30103
18,0.67%,32.56%,95,java.lang.AbstractStringBuilder.<init>,30102
19,0.65%,33.20%,92,java.lang.System.arraycopy,30099
20,0.63%,33.83%,90,java.lang.Object.getClass,30126
21,0.58%,34.41%,82,java.security.AccessController.doPrivileged,30106
22,0.58%,34.99%,82,java.lang.Float.floatToRawIntBits,30124
23,0.50%,35.48%,71,java.lang.Double.doubleToRawLongBits,30094
24,0.50%,35.98%,71,java.util.Arrays.copyOfRange,30099
25,0.44%,36.42%,62,java.lang.System.arraycopy,30110
26,0.42%,36.84%,60,java.security.AccessController.doPrivileged,30143
27,0.39%,37.23%,56,java.util.Arrays.copyOf,30077
28,0.33%,37.56%,47,org.apache.fop.fo.properties.ListProperty.hashCode,30138
29,0.32%,37.89%,46,java.util.Arrays.copyOf,30121
30,0.30%,38.19%,43,java.util.Arrays.copyOfRange,30148
31,0.29%,38.48%,41,org.apache.fop.fo.StaticPropertyList.getExplicit,30093
32,0.29%,38.76%,41,java.lang.System.arraycopy,30102
33,0.28%,39.04%,40,org.apache.fop.fo.properties.PropertyMaker.findProperty,30099
34,0.27%,39.32%,39,org.apache.fop.layoutmgr.KnuthPenalty.isForcedBreak,30122
35,0.27%,39.59%,38,sun.misc.FloatingDecimal.readJavaFormatString,30099
36,0.27%,39.85%,38,java.util.Arrays.copyOfRange,30128
37,0.26%,40.11%,37,org.apache.fop.layoutmgr.inline.TextLayoutManager$TextAreaBuilder.initWord,30128
38,0.26%,40.37%,37,java.lang.System.identityHashCode,30129
39,0.25%,40.62%,36,java.util.Arrays.copyOfRange,30100
40,0.25%,40.88%,36,java.util.Arrays.copyOfRange,30101
41,0.25%,41.13%,36,org.apache.fop.fo.properties.PropertyMaker.isInherited,30137
42,0.25%,41.38%,35,java.lang.System.arraycopy,30119
43,0.24%,41.62%,34,java.lang.Integer.compare,30096
44,0.24%,41.85%,34,org.apache.fop.fonts.FontInfo.fontLookup,30104
45,0.24%,42.09%,34,org.apache.fop.layoutmgr.BreakingAlgorithm.elementCanEndLine,30117
46,0.23%,42.32%,33,java.lang.System.arraycopy,30098
47,0.23%,42.56%,33,org.apache.fop.layoutmgr.BreakingAlgorithm.computeDemerits,30113
48,0.23%,42.79%,33,java.util.Collections$EmptyList.toArray,30148
49,0.22%,43.01%,32,org.apache.fop.fo.StaticPropertyList.<init>,30094
50,0.22%,43.24%,32,java.lang.Double.longBitsToDouble,30129
51,0.22%,43.46%,32,org.apache.fop.layoutmgr.BreakingAlgorithm.considerLegalBreak,30174
52,0.22%,43.68%,31,org.apache.fop.layoutmgr.BreakingAlgorithm.computeDemerits,30103
53,0.22%,43.90%,31,java.lang.Object.getClass,30105
54,0.21%,44.11%,30,org.apache.fop.layoutmgr.BreakingAlgorithm.computeDifference,30103
55,0.21%,44.32%,30,java.lang.System.arraycopy,30117
56,0.21%,44.53%,30,java.util.Arrays.copyOfRange,30119
57,0.20%,44.73%,28,org.apache.fop.layoutmgr.BreakingAlgorithm.computeDemerits,30103
58,0.20%,44.92%,28,org.apache.fop.layoutmgr.PositionIterator.checkNext,30118
59,0.20%,45.12%,28,org.apache.fop.layoutmgr.BreakingAlgorithm.considerLegalBreak,30121
60,0.20%,45.32%,28,java.util.ArrayList.elementData,30146
61,0.19%,45.51%,27,sun.nio.cs.ISO_8859_1$Encoder.encodeISOArray,30095
62,0.19%,45.70%,27,java.util.ArrayList$Itr.hasNext,30101
63,0.19%,45.88%,27,java.util.Arrays.copyOf,30101
64,0.19%,46.07%,27,org.apache.fop.layoutmgr.BreakingAlgorithm.computeAdjustmentRatio,30113
65,0.18%,46.26%,26,org.apache.fop.layoutmgr.KnuthPenalty.isForcedBreak,30105
66,0.18%,46.44%,26,org.apache.fop.layoutmgr.BreakingAlgorithm.considerLegalBreak,30127
67,0.18%,46.62%,25,java.util.Arrays.copyOfRange,30095
68,0.18%,46.79%,25,java.util.logging.Level.intValue,30106
69,0.17%,46.96%,24,java.util.ArrayList.<init>,30123
70,0.17%,47.13%,24,java.lang.Integer.toString,30185
71,0.16%,47.29%,23,java.util.Arrays.copyOf,30054
72,0.16%,47.45%,23,org.apache.fop.fo.PropertyList.get,30097
73,0.16%,47.61%,23,org.apache.fop.util.CharUtilities$1$1.hasNext,30101
74,0.16%,47.77%,23,java.lang.System.arraycopy,30113
75,0.16%,47.94%,23,org.apache.fop.layoutmgr.BreakingAlgorithm.considerLegalBreak,30122
76,0.16%,48.10%,23,org.apache.fop.layoutmgr.BreakingAlgorithm.computeDemerits,30127
77,0.16%,48.26%,23,java.util.logging.Level.intValue,30137
78,0.16%,48.42%,23,java.lang.AbstractStringBuilder.<init>,30151
79,0.15%,48.57%,22,org.apache.fop.layoutmgr.ListElement.isPenalty,30113
80,0.15%,48.73%,22,org.apache.fop.fonts.Font.getRealFontMetrics,30128
81,0.15%,48.88%,22,org.apache.fop.layoutmgr.BreakingAlgorithm$FitnessClasses.computeFitness,30147
82,0.15%,49.03%,21,java.util.Arrays.copyOfRange,30098
83,0.15%,49.18%,21,org.apache.fop.layoutmgr.BreakingAlgorithm.computeDemerits,30103
84,0.15%,49.33%,21,java.util.logging.Logger.isLoggable,30170
85,0.14%,49.47%,20,java.lang.String.toCharArray,30053
86,0.14%,49.61%,20,java.util.Arrays.copyOf,30095
87,0.14%,49.75%,20,java.util.zip.Deflater.deflateBytes,30096
88,0.14%,49.89%,20,java.util.logging.Level.intValue,30099
89,0.14%,50.03%,20,org.apache.fop.fonts.Typeface.isCID,30111
90,0.14%,50.17%,20,org.apache.fop.layoutmgr.BreakingAlgorithm.considerLegalBreak,30114
91,0.14%,50.31%,20,java.nio.CharBuffer.charAt,30119
92,0.14%,50.45%,20,org.apache.fop.layoutmgr.BreakingAlgorithm.elementCanEndLine,30122
93,0.14%,50.59%,20,java.lang.Thread.currentThread,30147
94,0.14%,50.73%,20,org.apache.fop.layoutmgr.BreakingAlgorithm.computeDemerits,30171
95,0.13%,50.86%,19,org.apache.fop.pdf.PDFTextUtil.writeChar,30097
96,0.13%,51.00%,19,java.util.Arrays.copyOf,30104
97,0.13%,51.13%,19,org.apache.fop.layoutmgr.BreakingAlgorithm.considerLegalBreak,30111
98,0.13%,51.26%,19,org.apache.fop.layoutmgr.BreakingAlgorithm.computeDemerits,30116
99,0.13%,51.40%,19,org.apache.fop.layoutmgr.BreakingAlgorithm.considerLegalBreak,30122
100,0.13%,51.53%,19,org.apache.fop.fo.properties.CommonFont.getFontFamily,30135
101,0.13%,51.66%,19,java.lang.AbstractStringBuilder.appendCodePoint,30172
102,0.13%,51.79%,18,java.util.ArrayList.elementData,30097
103,0.13%,51.92%,18,org.apache.fop.util.CharUtilities.isBmpCodePoint,30114
104,0.13%,52.04%,18,java.util.logging.Logger.isLoggable,30116
105,0.13%,52.17%,18,org.apache.fop.layoutmgr.BreakingAlgorithm.computeDemerits,30117
106,0.13%,52.30%,18,org.apache.fop.layoutmgr.BreakingAlgorithm$FitnessClasses.computeFitness,30118
107,0.13%,52.42%,18,org.apache.fop.layoutmgr.BreakingAlgorithm.computeDemerits,30125
108,0.13%,52.55%,18,java.util.ArrayList$Itr.next,30127
109,0.13%,52.68%,18,java.nio.HeapCharBuffer.<init>,30136
110,0.13%,52.80%,18,java.util.ArrayList.<init>,30142
111,0.13%,52.93%,18,org.apache.fop.fo.properties.PropertyMaker.findProperty,30142
112,0.13%,53.05%,18,java.util.ArrayList.<init>,30154
113,0.13%,53.18%,18,org.apache.fop.fo.FOText$TextCharIterator.nextChar,30160
114,0.13%,53.31%,18,java.util.ArrayList.<init>,30186
115,0.12%,53.43%,17,java.lang.String.hashCode,30093
116,0.12%,53.55%,17,java.lang.AbstractStringBuilder.<init>,30094
117,0.12%,53.67%,17,org.apache.fop.layoutmgr.BreakingAlgorithm.considerLegalBreak,30094
118,0.12%,53.79%,17,java.lang.AbstractStringBuilder.<init>,30100
119,0.12%,53.90%,17,java.lang.Double.doubleToRawLongBits,30100
120,0.12%,54.02%,17,java.nio.HeapCharBuffer.ix,30105
121,0.12%,54.14%,17,org.apache.fop.fonts.Font.getRealFontMetrics,30110
122,0.12%,54.26%,17,java.nio.Buffer.position,30114
123,0.12%,54.38%,17,org.apache.fop.layoutmgr.BreakingAlgorithm.computeDifference,30115
124,0.12%,54.50%,17,org.apache.fop.layoutmgr.BreakingAlgorithm.considerLegalBreak,30115
125,0.12%,54.62%,17,java.util.LinkedList.toArray,30129
126,0.12%,54.74%,17,org.apache.fop.fo.FObj.getPropertyMakerFor,30137
127,0.12%,54.86%,17,org.apache.fop.fonts.AbstractCodePointMapping.mapChar,30141
128,0.12%,54.98%,17,java.lang.System.arraycopy,30145
129,0.12%,55.10%,17,java.util.ArrayList.get,30189
130,0.12%,55.22%,17,org.apache.fop.pdf.PDFTextUtil.writeChar,30190
131,0.11%,55.33%,16,java.util.LinkedList.toArray,30099
132,0.11%,55.44%,16,org.apache.fop.layoutmgr.BreakingAlgorithm.computeDifference,30112
133,0.11%,55.55%,16,org.apache.fop.layoutmgr.BreakingAlgorithm.computeDifference,30116
134,0.11%,55.67%,16,org.apache.fop.layoutmgr.BreakingAlgorithm.computeDemerits,30117
135,0.11%,55.78%,16,org.apache.fop.layoutmgr.BreakingAlgorithm.forceNode,30136
136,0.11%,55.89%,16,java.lang.Object.hashCode,30153
137,0.11%,56.00%,16,java.util.Arrays.copyOf,30190
138,0.11%,56.12%,16,org.apache.fop.layoutmgr.BreakingAlgorithm.considerLegalBreak,30190
139,0.11%,56.22%,15,java.lang.System.arraycopy,30102
140,0.11%,56.33%,15,java.lang.System.arraycopy,30104
