rank,self,accum,count,method,trace
1,13.53%,13.53%,18571,java.lang.Thread.currentThread,30090
2,7.44%,20.98%,10211,sun.misc.Unsafe.getObjectVolatile,30073
3,7.28%,28.26%,9991,java.lang.Object.hashCode,30110
4,4.68%,32.93%,6416,java.lang.String.charAt,30116
5,4.57%,37.51%,6275,java.lang.Character.isSurrogate,30116
6,4.00%,41.50%,5486,sun.misc.Unsafe.getObjectVolatile,30071
7,3.51%,45.01%,4817,org.python.core.PyUnicode.getSupplementaryCounts,30117
8,2.79%,47.80%,3824,java.math.BigInteger.<init>,30111
9,2.58%,50.39%,3546,java.util.Arrays.copyOfRange,30112
10,2.52%,52.90%,3456,java.util.Arrays.copyOf,30117
11,2.32%,55.23%,3189,java.lang.Object.getClass,30085
12,2.27%,57.50%,3121,java.lang.Character.isSurrogate,30117
13,1.94%,59.45%,2667,org.python.core.PySlice.indicesEx,30130
14,1.84%,61.29%,2527,java.util.Arrays.copyOfRange,30111
15,1.66%,62.94%,2271,sun.misc.Unsafe.getObjectVolatile,30113
16,1.48%,64.42%,2034,java.util.Arrays.copyOf,30116
17,1.39%,65.82%,1912,sun.misc.Unsafe.getObjectVolatile,30086
18,1.37%,67.19%,1884,java.lang.Object.getClass,30126
19,1.26%,68.45%,1733,java.lang.Double.doubleToRawLongBits,30124
20,0.96%,69.41%,1312,java.lang.Object.getClass,30178
21,0.74%,70.15%,1019,java.lang.Object.getClass,30079
22,0.66%,70.81%,904,org.python.core.PyUnicode.getSupplementaryCounts,30117
23,0.59%,71.40%,806,java.util.ArrayList$SubList$1.next,30129
24,0.53%,71.93%,727,org.python.core.ArgParser.getString,30135
25,0.52%,72.45%,709,sun.misc.Unsafe.getObjectVolatile,30124
26,0.43%,72.87%,587,java.lang.System.arraycopy,30072
27,0.40%,73.28%,552,sun.misc.Unsafe.getInt,30038
28,0.35%,73.63%,486,java.lang.System.arraycopy,30112
29,0.33%,73.96%,457,java.lang.Throwable.fillInStackTrace,30163
30,0.33%,74.29%,452,java.util.ArrayList$SubList$1.next,30129
31,0.33%,74.62%,451,java.util.Arrays.copyOfRange,30112
32,0.31%,74.93%,422,java.lang.Object.getClass,30134
33,0.29%,75.22%,398,sun.misc.Unsafe.getObjectVolatile,30113
34,0.29%,75.51%,394,org.python.core.PyUnicode$SubsequenceIteratorBasic.nextCodePoint,30166
35,0.28%,75.79%,387,java.util.Arrays.copyOf,30158
36,0.28%,76.07%,385,java.lang.Object.getClass,30113
37,0.26%,76.33%,360,java.util.Arrays.copyOf,30159
38,0.25%,76.58%,348,sun.reflect.Reflection.getClassAccessFlags,30179
39,0.24%,76.83%,335,java.lang.String.charAt,30116
40,0.24%,77.07%,331,sun.misc.Unsafe.compareAndSwapObject,30119
41,0.24%,77.31%,328,java.math.MutableBigInteger.<init>,30155
42,0.23%,77.54%,321,java.util.Arrays.copyOf,30158
43,0.23%,77.77%,315,org.python.core.PyReflectedFunction.<init>,30178
44,0.23%,78.00%,310,org.python.core.ReflectedCallData.setLength,30180
45,0.22%,78.21%,297,sun.misc.Unsafe.compareAndSwapInt,30072
46,0.22%,78.43%,296,java.lang.Object.getClass,30083
47,0.21%,78.64%,292,java.lang.String.charAt,30117
48,0.21%,78.85%,283,java.lang.Object.getClass,30179
49,0.20%,79.05%,281,org.python.core.PyFrame.<init>,30135
50,0.19%,79.24%,254,java.util.ArrayList.add,30131
51,0.18%,79.42%,253,java.util.Arrays.copyOfRange,30179
52,0.17%,79.60%,238,java.util.AbstractCollection.toArray,30130
53,0.17%,79.77%,233,java.lang.String.charAt,30116
54,0.16%,79.93%,224,java.util.Arrays.copyOfRange,30163
55,0.16%,80.09%,223,java.util.Arrays.copyOfRange,30162
